Eval. Grp 1-Block,Detail,Detail 2,Detail 3
B001,Cream,HQ,Ibu Pejabat
B002,Pbgn & Pgrsn Aset,HQ,Ibu Pejabat
B003,Bilik Perbincangan,HQ,Ibu Pejabat
B004,Bilik Akasia,HQ,Ibu Pejabat
B005,Bilik Ara,HQ,Ibu Pejabat
B006,Bilik Gerakan Balau,HQ,Ibu Pejabat
B007,Bilik ICT,HQ,Ibu Pejabat
B008,Bahagian pengurusan Levi,HQ,Ibu Pejabat
B009,Antarabangsa,HQ,Ibu Pejabat
B010,ASET PWTC LUPUS & LELONG,HQ,Ibu Pejabat
B011,Kewangan & Akaun,HQ,Ibu Pejabat
B012,Bilik Keledang,HQ,Ibu Pejabat
B013,Bilik Ketapang,HQ,Ibu Pejabat
B014,Pengurusan_Korporat,HQ,Ibu Pejabat
B015,PENGURUSAN ASET,HQ,Ibu Pejabat
B016,Pejabat Ketua Sektor,HQ,Ibu Pejabat
B017,Pejabat Pengerusi,HQ,Ibu Pejabat
B018,BAHAGIAN PERSEKITARAN BISNES,HQ,Ibu Pejabat
B019,Pendaftaran & Levi,HQ,Ibu Pejabat
B020,SEKTOR PEMATUHAN,HQ,Ibu Pejabat
B021,Pengurusan Strategik,HQ,Ibu Pejabat
B022,Sumber Manusia,HQ,Ibu Pejabat
B023,Sheq,HQ,Ibu Pejabat
B024,Pengurusan Maklumat,HQ,Ibu Pejabat
B025,Pusat Konvensyen Cidb,HQ,Ibu Pejabat
B026,Makmal Kerja Raya,HQ,Ibu Pejabat
B027,Pej PUU,HQ,Ibu Pejabat
B028,SAGA,HQ,Ibu Pejabat
B029,Rekreasi,HQ,Ibu Pejabat
B030,CIDB_Kelantan,KN,Kelantan
B031,Bilik Latihan Merbau,HQ,Ibu Pejabat
B032,CIDB_Tawau,TW,Tawau
B033,CIDB_Pahang,PH,Pahang
B034,CIDB_Terengganu,TR,Terengganu
B035,Pusat IBS,HQ,Ibu Pejabat
B036,CIDB_Penang,PP,Pulau Pinang
B037,CIDB_Kedah,KD,Kedah
B038,CIDB_WPKL,WPKL,W.P Kuala Lumpur
B039,CIDB_Sabah,SB,Sabah
B040,CIDB_Johor,JH,Johor
B041,CIDB_Sarawak,SR,Serawak
B042,ABM_Utara,KD,Kedah
B043,CIDB_Miri,MR,Miri
B044,CIDB_Perak,PR,Perak
B045,ABM_Sarawak,SR,Serawak
B046,CITY_Plaza,HQ,Ibu Pejabat
B047,ABM_TRG,TR,Terengganu
B048,CIDB_Melaka,ML,Melaka
B049,CIDB_Selangor,SL,Selangor
B050,PWTC,HQ,Ibu Pejabat
B051,ABM Selangor,WPKL,W.P Kuala Lumpur
B052,Bilik Meranti,HQ,Ibu Pejabat
B053,ABM_Sabah,SB,Sabah
B054,ABM Johor,JH,Johor
B055,CIDB_Perlis,PL,Perlis
B056,CIDB_Negerisembilan,NS,Negeri Sembilan
B057,BAHAGIAN PEMATUHAN KUALITI BIN,HQ,Ibu Pejabat
B058,BAHAGIAN PEMBANGUNAN PERSONEL,HQ,Ibu Pejabat
B059,Call Centre,HQ,Ibu Pejabat
B060,Bilik Amber Sunway Putra,HQ,Ibu Pejabat
B061,Pembangunan Kontraktor,HQ,Ibu Pejabat
B070,Pembangunan Tenaga Kerja,HQ,Ibu Pejabat
B071,CIDB_Bintulu,BT,Bintulu
B072,CIDB_Sandakan,SD,Sandakan
B073,Bahagian Latihan & Kompetensi,HQ,Ibu Pejabat
B074,BAHAGIAN PENGURUSAN LATIHAN,HQ,Ibu Pejabat
B075,Pengurusan Program Citp,HQ,Ibu Pejabat
B076,BAHAGIAN PENDAFTARAN KONTRAKTO,HQ,Ibu Pejabat
B077,Bahagian Audit & Risiko,HQ,Ibu Pejabat
B078,Komunikasi Korporat,HQ,Ibu Pejabat
B079,Sektor Korporat & Bisnes,HQ,Ibu Pejabat
B080,Strategi & Tadbir Urus,HQ,Ibu Pejabat
B081,BAHAGIAN PEMBANGUNAN TEKNOLOGI,HQ,Ibu Pejabat
B082,SEKTOR PEMBANGUNAN TEKNOLOGI &,HQ,Ibu Pejabat
B083,CIDB_Sibu,SI,Sibu
B084,Sektor Pengurusan,HQ,Ibu Pejabat
B085,Tadbir Urus & Integriti,HQ,Ibu Pejabat
B086,Sektor Dasar& Korporat,HQ,Ibu Pejabat
B087,BAHAGIAN PENGURUSAN AKREDITASI,HQ,Ibu Pejabat
B088,SEKTOR PENDAFTARAN & AKREDITAS,HQ,Ibu Pejabat
B089,Bahagian Penilaian &Pensijilan,HQ,Ibu Pejabat
B090,Pej Ketua Eksekutif,HQ,Ibu Pejabat
B091,Pej PUU,HQ,Ibu Pejabat
B092,Kualiti,HQ,Ibu Pejabat
B093,Bhgn Teknlgi Binaan & Inovasi,HQ,Ibu Pejabat
B094,Timbalan Ketua Eksekutif 1,HQ,Ibu Pejabat
B095,Timbalan Ketua Eksekutif 2,HQ,Ibu Pejabat
B096,SEKTOR PEMBANGUNAN KONTRAKTOR,HQ,Ibu Pejabat
B097,Sumber Manusia,HQ,Ibu Pejabat
B098,BAHAGIAN TEKNOLOGI MAKLUMAT,HQ,Ibu Pejabat
B099,UNIT PENGURUSAN FASILITI,HQ,Ibu Pejabat
B100,DC,HQ,Ibu Pejabat
B101,CCC Sarawak,SR,Serawak
B102,Lupus,HQ,Ibu Pejabat
B103,BAHAGIAN PENGUATKUASAAN,HQ,Ibu Pejabat
B104,Operasi,HQ,Ibu Pejabat
B105,Bilik Mesyuarat Pulai,HQ,Ibu Pejabat
B106,Bilik Bisnes Centre,HQ,Ibu Pejabat
B107,Bilik Emerald Sunway Putra,HQ,Ibu Pejabat
B108,Bilik Indigo Sunway Putra,HQ,Ibu Pejabat
B109,Bilik Sapphire Sunway Putra,HQ,Ibu Pejabat
